AX:-0.033935546875, AY:0.0517578125, AZ:0.970703125, WX:5.4931640625, WY:3.6163330078125, WZ:-2.95257568359375, MX:52.734375, MY:-25.1953125, MZ:-21.09375
AX:-0.03515625, AY:0.062255859375, AZ:0.95361328125, WX:0.72479248046875, WY:-3.387451171875, WZ:-13.60321044921875, MX:53.61328125, MY:-27.24609375, MZ:-21.09375
AX:-0.02392578125, AY:0.041748046875, AZ:0.958740234375, WX:5.79071044921875, WY:3.88336181640625, WZ:-10.55908203125, MX:54.19921875, MY:-29.8828125, MZ:-21.97265625
AX:-0.02685546875, AY:0.0380859375, AZ:0.9638671875, WX:5.18798828125, WY:-3.62396240234375, WZ:-5.6915283203125, MX:55.517578125, MY:-32.373046875, MZ:-22.998046875
AX:-0.013427734375, AY:0.02001953125, AZ:0.969970703125, WX:6.65283203125, WY:1.4495849609375, WZ:-7.37762451171875, MX:55.95703125, MY:-33.984375, MZ:-21.97265625
AX:0.00537109375, AY:0.022216796875, AZ:0.9365234375, WX:2.5634765625, WY:0.26702880859375, WZ:-11.2762451171875, MX:57.71484375, MY:-36.9140625, MZ:-22.55859375
AX:-0.013916015625, AY:-0.0048828125, AZ:0.97119140625, WX:7.232666015625, WY:2.0294189453125, WZ:-0.6256103515625, MX:57.861328125, MY:-38.232421875, MZ:-23.291015625
AX:0.000732421875, AY:-0.000244140625, AZ:0.97265625, WX:6.2713623046875, WY:6.99615478515625, WZ:-4.46319580078125, MX:55.810546875, MY:-39.990234375, MZ:-22.998046875
AX:-0.00341796875, AY:0.00830078125, AZ:0.975341796875, WX:5.25665283203125, WY:3.56292724609375, WZ:-3.50189208984375, MX:55.6640625, MY:-42.1875, MZ:-22.55859375
AX:-0.010009765625, AY:0.00537109375, AZ:0.97119140625, WX:1.96075439453125, WY:2.52532958984375, WZ:-7.476806640625, MX:55.95703125, MY:-43.359375, MZ:-23.4375
AX:-0.02099609375, AY:0.0126953125, AZ:0.971923828125, WX:5.06591796875, WY:-0.6256103515625, WZ:-2.86102294921875, MX:57.12890625, MY:-43.359375, MZ:-23.73046875
AX:0.023681640625, AY:0.087158203125, AZ:0.959716796875, WX:4.90570068359375, WY:-0.2288818359375, WZ:-2.9754638671875, MX:18.1640625, MY:-18.45703125, MZ:-24.0234375
AX:0.054931640625, AY:0.06494140625, AZ:0.967041015625, WX:4.82940673828125, WY:2.63214111328125, WZ:-2.90679931640625, MX:18.017578125, MY:-18.310546875, MZ:-23.583984375
AX:0.01220703125, AY:0.07958984375, AZ:0.970458984375, WX:5.1727294921875, WY:0.89263916015625, WZ:-2.06756591796875, MX:18.603515625, MY:-18.603515625, MZ:-22.412109375
AX:0.04638671875, AY:0.07470703125, AZ:0.95849609375, WX:6.53076171875, WY:6.49261474609375, WZ:3.265380859375, MX:18.75, MY:-19.921875, MZ:-22.55859375
